Row,Analysis,Identifier 1,Identifier 2,Peak Nr  Flash TCD,Rt Flash TCD,Detector Name Flash TCD,rArea Flash TCD,Amt% Flash TCD,,
34,33538,Sirot_Box 1,C3,,,,,,,
35,33539,Sirot_Box 1,C4,1,135.2,Flash TCD,30391,0,,
35,33539,Sirot_Box 1,C4,2,232.2,Flash TCD,411381,0,,
35,33539,Sirot_Box 1,C4,,,,,,,
36,33540,Sirot_Box 1,C5,1,135.1,Flash TCD,29237,0,,
36,33540,Sirot_Box 1,C5,2,232.1,Flash TCD,399334,0,,
36,33540,Sirot_Box 1,C5,,,,,,,
37,33541,Sirot_Box 1,C6,1,135.2,Flash TCD,24511,0,,
37,33541,Sirot_Box 1,C6,2,232.2,Flash TCD,334207,0,,
37,33541,Sirot_Box 1,C6,,,,,,,
38,33542,Sirot_Box 1,C7,1,135.1,Flash TCD,27727,0,,
38,33542,Sirot_Box 1,C7,2,232.1,Flash TCD,371883,0,,
38,33542,Sirot_Box 1,C7,,,,,,,
39,33543,Sirot_Box 1,C8,1,134.1,Flash TCD,26199,0,,
39,33543,Sirot_Box 1,C8,2,232.1,Flash TCD,352538,0,,
39,33543,Sirot_Box 1,C8,,,,,,,
40,33544,Sirot_Box 1,C9,1,134.1,Flash TCD,25234,0,,
40,33544,Sirot_Box 1,C9,2,232.1,Flash TCD,355755,0,,
40,33544,Sirot_Box 1,C9,,,,,,,
41,33545,Sirot_Box 1,C10,1,135.1,Flash TCD,22245,0,,
41,33545,Sirot_Box 1,C10,2,233.1,Flash TCD,298790,0,,
41,33545,Sirot_Box 1,C10,,,,,,,
42,33546,Sirot_Box 1,C11,1,135.1,Flash TCD,20858,0,,
42,33546,Sirot_Box 1,C11,2,233.1,Flash TCD,283576,0,,
42,33546,Sirot_Box 1,C11,,,,,,,
43,33547,Sirot_Box 1,C12,1,134.1,Flash TCD,20532,0,,
43,33547,Sirot_Box 1,C12,2,233.1,Flash TCD,281265,0,,
43,33547,Sirot_Box 1,C12,,,,,,,
44,33548,USG 40,,1,134.1,Flash TCD,79503,0,,
44,33548,USG 40,,2,230.1,Flash TCD,984882,0,,
44,33548,USG 40,,,,,,,,
45,33549,Sirot_Box 1,D1,1,134.3,Flash TCD,48653,0,,
45,33549,Sirot_Box 1,D1,2,232.3,Flash TCD,407815,0,,
45,33549,Sirot_Box 1,D1,,,,,,,
46,33550,Sirot_Box 1,D2,1,134.1,Flash TCD,40906,0,,
46,33550,Sirot_Box 1,D2,2,232.1,Flash TCD,334349,0,,
46,33550,Sirot_Box 1,D2,,,,,,,
47,33551,Sirot_Box 1,D3,1,135.1,Flash TCD,30068,0,,
47,33551,Sirot_Box 1,D3,2,232.1,Flash TCD,399597,0,,
47,33551,Sirot_Box 1,D3,,,,,,,
48,33552,Sirot_Box 1,D4,1,135.1,Flash TCD,27860,0,,
48,33552,Sirot_Box 1,D4,2,232.1,Flash TCD,364180,0,,
48,33552,Sirot_Box 1,D4,,,,,,,
49,33553,Sirot_Box 1,D5,1,135.1,Flash TCD,23148,0,,
49,33553,Sirot_Box 1,D5,2,233.1,Flash TCD,318658,0,,
49,33553,Sirot_Box 1,D5,,,,,,,
50,33554,Sirot_Box 1,D6,1,134.1,Flash TCD,22460,0,,
50,33554,Sirot_Box 1,D6,2,233.1,Flash TCD,313651,0,,
50,33554,Sirot_Box 1,D6,,,,,,,
51,33555,Sirot_Box 1,D7,1,135.1,Flash TCD,24871,0,,
51,33555,Sirot_Box 1,D7,2,232.1,Flash TCD,352761,0,,
51,33555,Sirot_Box 1,D7,,,,,,,
52,33556,Sirot_Box 1,D8,1,134.2,Flash TCD,23645,0,,
52,33556,Sirot_Box 1,D8,2,233.2,Flash TCD,324812,0,,
52,33556,Sirot_Box 1,D8,,,,,,,
53,33557,Sirot_Box 1,D9,1,135.1,Flash TCD,27506,0,,
53,33557,Sirot_Box 1,D9,2,232.1,Flash TCD,378598,0,,
53,33557,Sirot_Box 1,D9,,,,,,,
54,33558,Sirot_Box 1,D10,1,135.1,Flash TCD,27049,0,,
54,33558,Sirot_Box 1,D10,2,232.1,Flash TCD,364466,0,,
54,33558,Sirot_Box 1,D10,,,,,,,
55,33559,Sirot_Box 1,D11,1,135.1,Flash TCD,26264,0,,
55,33559,Sirot_Box 1,D11,2,233.1,Flash TCD,356045,0,,
55,33559,Sirot_Box 1,D11,,,,,,,
56,33560,Sirot_Box 1,D12,1,134.1,Flash TCD,34966,0,,
56,33560,Sirot_Box 1,D12,2,232.1,Flash TCD,483053,0,,
56,33560,Sirot_Box 1,D12,,,,,,,
57,33561,N2,,1,134.1,Flash TCD,104754,0,,
57,33561,N2,,2,236.1,Flash TCD,2241,0,,
57,33561,N2,,,,,,,,
58,33562,Sirot_Box 1,E1,1,135.1,Flash TCD,32566,0,,
58,33562,Sirot_Box 1,E1,2,233.1,Flash TCD,276789,0,,
58,33562,Sirot_Box 1,E1,,,,,,,
59,33563,Sirot_Box 1,E2,1,134.1,Flash TCD,151070,0,,
59,33563,Sirot_Box 1,E2,2,229.1,Flash TCD,1171141,0,,
59,33563,Sirot_Box 1,E2,,,,,,,
60,33564,Sirot_Box 1,E3,1,134.1,Flash TCD,62704,0,,
60,33564,Sirot_Box 1,E3,2,231.1,Flash TCD,506697,0,,
60,33564,Sirot_Box 1,E3,,,,,,,
61,33565,Sirot_Box 1,E4,1,135.1,Flash TCD,28531,0,,
61,33565,Sirot_Box 1,E4,2,232.1,Flash TCD,432917,0,,
61,33565,Sirot_Box 1,E4,,,,,,,
62,33566,Sirot_Box 1,E5,1,135.1,Flash TCD,22000,0,,
62,33566,Sirot_Box 1,E5,2,233.1,Flash TCD,319852,0,,
62,33566,Sirot_Box 1,E5,,,,,,,
63,33567,Sirot_Box 1,E6,1,135.4,Flash TCD,24494,0,,
63,33567,Sirot_Box 1,E6,2,232.4,Flash TCD,354772,0,,
63,33567,Sirot_Box 1,E6,,,,,,,
64,33568,Sirot_Box 1,E7,1,135.1,Flash TCD,29295,0,,
64,33568,Sirot_Box 1,E7,2,232.1,Flash TCD,402426,0,,
64,33568,Sirot_Box 1,E7,,,,,,,
65,33569,Sirot_Box 1,E8,,,,,,,Injektion skubbet 1 plads.
65,33569,Sirot_Box 1,E8,,,,,,,
66,33570,Sirot_Box 1,E9,1,135.1,Flash TCD,25680,0,,
66,33570,Sirot_Box 1,E9,2,232.1,Flash TCD,370022,0,,
66,33570,Sirot_Box 1,E9,,,,,,,
